"sites","Bloc","Coupe","Exclos","Analogue"
"ACTAEA1","A","totale","avec","1"
"ACTAEA2","A","totale","avec","2"
"ACTAEA3","A","totale","avec","3"
"ACTSEA1","A","totale","sans","1"
"ACTSEA2","A","totale","sans","2"
"ACTSEA3","A","totale","sans","3"
"ACPAEA1","A","partielle","avec","1"
"ACPAEA2","A","partielle","avec","2"
"ACPAEA3","A","partielle","avec","3"
"ACPSEA1","A","partielle","sans","1"
"ACPSEA2","A","partielle","sans","2"
"ACPSEA3","A","partielle","sans","3"
"AT1","A","temoin","sans","temoin"
"AT2","A","temoin","sans","temoin"
"AT3","A","temoin","sans","temoin"
"BCTAEA1","B","totale","avec","1"
"BCTAEA2","B","totale","avec","2"
"BCTAEA3","B","totale","avec","3"
"BCTSEA1","B","totale","sans","1"
"BCTSEA2","B","totale","sans","2"
"BCTSEA3","B","totale","sans","3"
"BCPAEA1","B","partielle","avec","1"
"BCPAEA2","B","partielle","avec","2"
"BCPAEA3","B","partielle","avec","3"
"BCPSEA1","B","partielle","sans","1"
"BCPSEA2","B","partielle","sans","2"
"BCPSEA3","B","partielle","sans","3"
"BT1","B","temoin","sans","temoin"
"BT2","B","temoin","sans","temoin"
"BT3","B","temoin","sans","temoin"
"CCTAEA1","C","totale","avec","1"
"CCTAEA2","C","totale","avec","2"
"CCTAEA3","C","totale","avec","3"
"CCTSEA1","C","totale","sans","1"
"CCTSEA2","C","totale","sans","2"
"CCTSEA3","C","totale","sans","3"
"CCPAEA1","C","partielle","avec","1"
"CCPAEA2","C","partielle","avec","2"
"CCPAEA3","C","partielle","avec","3"
"CCPSEA1","C","partielle","sans","1"
"CCPSEA2","C","partielle","sans","2"
"CCPSEA3","C","partielle","sans","3"
"CT1","C","temoin","sans","temoin"
"CT2","C","temoin","sans","temoin"
"CT3","C","temoin","sans","temoin"
"DCTAEA1","D","totale","avec","1"
"DCTAEA2","D","totale","avec","2"
"DCTAEA3","D","totale","avec","3"
"DCTSEA1","D","totale","sans","1"
"DCTSEA2","D","totale","sans","2"
"DCTSEA3","D","totale","sans","3"
"DCPAEA1","D","partielle","avec","1"
"DCPAEA2","D","partielle","avec","2"
"DCPAEA3","D","partielle","avec","3"
"DCPSEA1","D","partielle","sans","1"
"DCPSEA2","D","partielle","sans","2"
"DCPSEA3","D","partielle","sans","3"
"DT1","D","temoin","sans","temoin"
"DT2","D","temoin","sans","temoin"
"DT3","D","temoin","sans","temoin"
