"ID","mai","juin","juillet","aout"
"ACPAEA1",0,0,0,0
"ACPAEA2",0,1,0,0
"ACPAEA3",0,0,1,0
"ACPSEA1",0,0,0,0
"ACPSEA2",0,1,0,0
"ACPSEA3",1,1,0,0
"ACTAEA1",0,0,0,0
"ACTAEA2",0,0,0,0
"ACTAEA3",0,0,0,0
"ACTSEA1",1,0,1,1
"ACTSEA2",0,0,0,0
"ACTSEA3",0,0,1,0
"AT1",1,1,0,0
"AT2",1,0,0,0
"AT3",0,0,0,0
"BCPAEA1",0,0,0,0
"BCPAEA2",0,1,0,0
"BCPAEA3",0,0,0,0
"BCPSEA1",0,0,0,0
"BCPSEA2",0,0,0,0
"BCPSEA3",0,0,0,0
"BCTAEA1",0,0,0,0
"BCTAEA2",1,0,0,0
"BCTAEA3",0,0,0,0
"BCTSEA1",0,0,0,0
"BCTSEA2",1,1,0,0
"BCTSEA3",0,0,0,0
"BT1",0,0,0,0
"BT2",0,0,0,0
"BT3",0,0,0,0
"CCPAEA1",1,0,0,0
"CCPAEA2",1,0,0,0
"CCPAEA3",0,0,0,0
"CCPSEA1",1,0,1,0
"CCPSEA2",1,0,0,0
"CCPSEA3",0,0,0,0
"CCTAEA1",0,0,1,0
"CCTAEA2",1,0,0,0
"CCTAEA3",0,0,0,0
"CCTSEA1",0,0,0,1
"CCTSEA2",0,0,0,0
"CCTSEA3",0,0,0,0
"CT1",0,0,0,0
"CT2",1,0,0,0
"CT3",0,0,0,0
"DCPAEA1",0,1,0,0
"DCPAEA2",0,1,0,0
"DCPAEA3",0,0,0,0
"DCPSEA1",0,0,0,0
"DCPSEA2",0,1,0,0
"DCPSEA3",1,0,0,0
"DCTAEA1",0,0,0,0
"DCTAEA2",0,0,0,0
"DCTAEA3",0,0,0,0
"DCTSEA1",0,0,0,0
"DCTSEA2",0,0,0,0
"DCTSEA3",0,0,0,0
"DT1",0,0,0,0
"DT2",0,0,0,1
"DT3",0,0,0,0
