"V1","V2","V3","V4","V5"
"ACTAEA1",88,88,88,88
"ACTAEA2",92,92,92,92
"ACTAEA3",89,89,89,89
"ACTSEA1",100,100,100,100
"ACTSEA2",92,92,92,92
"ACTSEA3",67,67,67,67
"ACPAEA1",23,23,23,23
"ACPAEA2",27,27,27,27
"ACPAEA3",26,26,26,26
"ACPSEA1",2,2,2,2
"ACPSEA2",17,17,17,17
"ACPSEA3",5,5,5,5
"AT1",8,8,8,8
"AT2",1,1,1,1
"AT3",11,11,11,11
"BCTAEA1",48,48,48,48
"BCTAEA2",8,8,8,8
"BCTAEA3",27,27,27,27
"BCTSEA1",83,83,83,83
"BCTSEA2",29,29,29,29
"BCTSEA3",64,64,64,64
"BCPAEA1",1,1,1,1
"BCPAEA2",0,0,0,0
"BCPAEA3",5,5,5,5
"BCPSEA1",4,4,4,4
"BCPSEA2",7,7,7,7
"BCPSEA3",5,5,5,5
"BT1",0,0,0,0
"BT2",0,0,0,0
"BT3",2,2,2,2
"CCTAEA1",98,98,98,98
"CCTAEA2",70,70,70,70
"CCTAEA3",64,64,64,64
"CCTSEA1",76,76,76,76
"CCTSEA2",72,72,72,72
"CCTSEA3",86,86,86,86
"CCPAEA1",1,1,1,1
"CCPAEA2",30,30,30,30
"CCPAEA3",21,21,21,21
"CCPSEA1",14,14,14,14
"CCPSEA2",4,4,4,4
"CCPSEA3",13,13,13,13
"CT1",0,0,0,0
"CT2",0,0,0,0
"CT3",10,10,10,10
"DCTAEA1",7,7,7,7
"DCTAEA2",33,33,33,33
"DCTAEA3",22,22,22,22
"DCTSEA1",97,97,97,97
"DCTSEA2",99,99,99,99
"DCTSEA3",99,99,99,99
"DCPAEA1",16,16,16,16
"DCPAEA2",1,1,1,1
"DCPAEA3",0,0,0,0
"DCPSEA1",0,0,0,0
"DCPSEA2",2,2,2,2
"DCPSEA3",2,2,2,2
"DT1",2,2,2,2
"DT2",1,1,1,1
"DT3",0,0,0,0
