"Site","V1","V2","V3","V4"
"ACTAEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACTAEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACTAEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACTSEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACTSEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACTSEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACPAEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACPAEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACPAEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACPSEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACPSEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"ACPSEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"AT1",0,15.5833335121473,12.6500001996756,1.27500001713633
"AT2",0,15.5833335121473,12.6500001996756,1.27500001713633
"AT3",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCTAEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCTAEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCTAEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCTSEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCTSEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCTSEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCPAEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCPAEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCPAEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCPSEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCPSEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"BCPSEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"BT1",0,15.5833335121473,12.6500001996756,1.27500001713633
"BT2",0,15.5833335121473,12.6500001996756,1.27500001713633
"BT3",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCTAEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCTAEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCTAEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCTSEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCTSEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCTSEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCPAEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCPAEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCPAEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCPSEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCPSEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"CCPSEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"CT1",0,15.5833335121473,12.6500001996756,1.27500001713633
"CT2",0,15.5833335121473,12.6500001996756,1.27500001713633
"CT3",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCTAEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCTAEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCTAEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCTSEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCTSEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCTSEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCPAEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCPAEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCPAEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCPSEA1",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCPSEA2",0,15.5833335121473,12.6500001996756,1.27500001713633
"DCPSEA3",0,15.5833335121473,12.6500001996756,1.27500001713633
"DT1",0,15.5833335121473,12.6500001996756,1.27500001713633
"DT2",0,15.5833335121473,12.6500001996756,1.27500001713633
"DT3",0,15.5833335121473,12.6500001996756,1.27500001713633
