"Jday","1","2","3","4"
"ACTAEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACTAEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACTAEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACTSEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACTSEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACTSEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACPAEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACPAEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACPAEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACPSEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACPSEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"ACPSEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"AT1",0,27.6000002622604,33.2000005245209,0.400000005960464
"AT2",0,27.6000002622604,33.2000005245209,0.400000005960464
"AT3",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCTAEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCTAEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCTAEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCTSEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCTSEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCTSEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCPAEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCPAEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCPAEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCPSEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCPSEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"BCPSEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"BT1",0,27.6000002622604,33.2000005245209,0.400000005960464
"BT2",0,27.6000002622604,33.2000005245209,0.400000005960464
"BT3",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCTAEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCTAEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCTAEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCTSEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCTSEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCTSEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCPAEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCPAEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCPAEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCPSEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCPSEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"CCPSEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"CT1",0,27.6000002622604,33.2000005245209,0.400000005960464
"CT2",0,27.6000002622604,33.2000005245209,0.400000005960464
"CT3",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCTAEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCTAEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCTAEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCTSEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCTSEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCTSEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCPAEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCPAEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCPAEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCPSEA1",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCPSEA2",0,27.6000002622604,33.2000005245209,0.400000005960464
"DCPSEA3",0,27.6000002622604,33.2000005245209,0.400000005960464
"DT1",0,27.6000002622604,33.2000005245209,0.400000005960464
"DT2",0,27.6000002622604,33.2000005245209,0.400000005960464
"DT3",0,27.6000002622604,33.2000005245209,0.400000005960464
