"","V1","V2","V3","V4"
"ACTAEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACTAEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACTAEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACTSEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACTSEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACTSEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACPAEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACPAEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACPAEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACPSEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACPSEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"ACPSEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"AT1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"AT2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"AT3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCTAEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCTAEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCTAEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCTSEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCTSEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCTSEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCPAEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCPAEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCPAEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCPSEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCPSEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BCPSEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BT1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BT2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"BT3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCTAEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCTAEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCTAEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCTSEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCTSEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCTSEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCPAEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCPAEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCPAEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCPSEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCPSEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CCPSEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CT1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CT2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"CT3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCTAEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCTAEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCTAEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCTSEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCTSEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCTSEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCPAEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCPAEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCPAEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCPSEA1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCPSEA2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DCPSEA3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DT1",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DT2",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
"DT3",-1.07724907018189,1.19832930581028,0.7699851488791,-0.891065384507485
